experiment,algorithm,nodes,param,keyset,metric,value
A,ring,10,1,user,cv,0.766404
A,ring,10,1,user,cv_noise_floor,0.003162
A,ring,10,1,user,cv_over_floor,242.358314
A,ring,10,1,user,peak_over_mean,2.636500
A,ring,10,1,user,min_over_mean,0.105410
A,ring,10,1,uuid,cv,0.763207
A,ring,10,1,uuid,cv_noise_floor,0.003162
A,ring,10,1,uuid,cv_over_floor,241.347336
A,ring,10,1,uuid,peak_over_mean,2.622970
A,ring,10,1,uuid,min_over_mean,0.104390
A,ring,10,10,user,cv,0.291669
A,ring,10,10,user,cv_noise_floor,0.003162
A,ring,10,10,user,cv_over_floor,92.233859
A,ring,10,10,user,peak_over_mean,1.599380
A,ring,10,10,user,min_over_mean,0.605830
A,ring,10,10,uuid,cv,0.292518
A,ring,10,10,uuid,cv_noise_floor,0.003162
A,ring,10,10,uuid,cv_over_floor,92.502194
A,ring,10,10,uuid,peak_over_mean,1.604260
A,ring,10,10,uuid,min_over_mean,0.608400
A,ring,10,100,user,cv,0.051646
A,ring,10,100,user,cv_noise_floor,0.003162
A,ring,10,100,user,cv_over_floor,16.331836
A,ring,10,100,user,peak_over_mean,1.058230
A,ring,10,100,user,min_over_mean,0.903850
A,ring,10,100,uuid,cv,0.050664
A,ring,10,100,uuid,cv_noise_floor,0.003162
A,ring,10,100,uuid,cv_over_floor,16.021495
A,ring,10,100,uuid,peak_over_mean,1.053670
A,ring,10,100,uuid,min_over_mean,0.901450
A,ring,10,160,user,cv,0.058010
A,ring,10,160,user,cv_noise_floor,0.003162
A,ring,10,160,user,cv_over_floor,18.344342
A,ring,10,160,user,peak_over_mean,1.073740
A,ring,10,160,user,min_over_mean,0.902170
A,ring,10,160,uuid,cv,0.058456
A,ring,10,160,uuid,cv_noise_floor,0.003162
A,ring,10,160,uuid,cv_over_floor,18.485366
A,ring,10,160,uuid,peak_over_mean,1.070700
A,ring,10,160,uuid,min_over_mean,0.898000
A,ring,10,1000,user,cv,0.029969
A,ring,10,1000,user,cv_noise_floor,0.003162
A,ring,10,1000,user,cv_over_floor,9.477043
A,ring,10,1000,user,peak_over_mean,1.044470
A,ring,10,1000,user,min_over_mean,0.945120
A,ring,10,1000,uuid,cv,0.030669
A,ring,10,1000,uuid,cv_noise_floor,0.003162
A,ring,10,1000,uuid,cv_over_floor,9.698317
A,ring,10,1000,uuid,peak_over_mean,1.043140
A,ring,10,1000,uuid,min_over_mean,0.937450
A,ring_ketama,10,160,user,cv,0.069221
A,ring_ketama,10,160,user,cv_noise_floor,0.003162
A,ring_ketama,10,160,user,cv_over_floor,21.889639
A,ring_ketama,10,160,user,peak_over_mean,1.131190
A,ring_ketama,10,160,user,min_over_mean,0.877270
A,ring_ketama,10,160,uuid,cv,0.068056
A,ring_ketama,10,160,uuid,cv_noise_floor,0.003162
A,ring_ketama,10,160,uuid,cv_over_floor,21.521275
A,ring_ketama,10,160,uuid,peak_over_mean,1.126580
A,ring_ketama,10,160,uuid,min_over_mean,0.875160
A,hrw,10,0,user,cv,0.004049
A,hrw,10,0,user,cv_noise_floor,0.003162
A,hrw,10,0,user,cv_over_floor,1.280372
A,hrw,10,0,user,peak_over_mean,1.008090
A,hrw,10,0,user,min_over_mean,0.991300
A,hrw,10,0,uuid,cv,0.002574
A,hrw,10,0,uuid,cv_noise_floor,0.003162
A,hrw,10,0,uuid,cv_over_floor,0.814118
A,hrw,10,0,uuid,peak_over_mean,1.004140
A,hrw,10,0,uuid,min_over_mean,0.996130
A,jump,10,0,user,cv,0.004052
A,jump,10,0,user,cv_noise_floor,0.003162
A,jump,10,0,user,cv_over_floor,1.281409
A,jump,10,0,user,peak_over_mean,1.007550
A,jump,10,0,user,min_over_mean,0.994630
A,jump,10,0,uuid,cv,0.002612
A,jump,10,0,uuid,cv_noise_floor,0.003162
A,jump,10,0,uuid,cv_over_floor,0.826084
A,jump,10,0,uuid,peak_over_mean,1.003010
A,jump,10,0,uuid,min_over_mean,0.994760
A,maglev,10,65537,user,cv,0.001643
A,maglev,10,65537,user,cv_noise_floor,0.003162
A,maglev,10,65537,user,cv_over_floor,0.519581
A,maglev,10,65537,user,peak_over_mean,1.003940
A,maglev,10,65537,user,min_over_mean,0.997280
A,maglev,10,65537,uuid,cv,0.002626
A,maglev,10,65537,uuid,cv_noise_floor,0.003162
A,maglev,10,65537,uuid,cv_over_floor,0.830311
A,maglev,10,65537,uuid,peak_over_mean,1.003650
A,maglev,10,65537,uuid,min_over_mean,0.995420
A,maglev,10,655373,user,cv,0.003315
A,maglev,10,655373,user,cv_noise_floor,0.003162
A,maglev,10,655373,user,cv_over_floor,1.048362
A,maglev,10,655373,user,peak_over_mean,1.004890
A,maglev,10,655373,user,min_over_mean,0.995300
A,maglev,10,655373,uuid,cv,0.002238
A,maglev,10,655373,uuid,cv_noise_floor,0.003162
A,maglev,10,655373,uuid,cv_over_floor,0.707785
A,maglev,10,655373,uuid,peak_over_mean,1.003120
A,maglev,10,655373,uuid,min_over_mean,0.996500
A,slot_table,10,1024,user,cv,0.004047
A,slot_table,10,1024,user,cv_noise_floor,0.003162
A,slot_table,10,1024,user,cv_over_floor,1.279672
A,slot_table,10,1024,user,peak_over_mean,1.005310
A,slot_table,10,1024,user,min_over_mean,0.994410
A,slot_table,10,1024,uuid,cv,0.005952
A,slot_table,10,1024,uuid,cv_noise_floor,0.003162
A,slot_table,10,1024,uuid,cv_over_floor,1.882124
A,slot_table,10,1024,uuid,peak_over_mean,1.010300
A,slot_table,10,1024,uuid,min_over_mean,0.992690
A,ring,100,1,user,cv,1.101885
A,ring,100,1,user,cv_noise_floor,0.010000
A,ring,100,1,user,cv_over_floor,110.188549
A,ring,100,1,user,peak_over_mean,7.473900
A,ring,100,1,user,min_over_mean,0.008400
A,ring,100,1,uuid,cv,1.100586
A,ring,100,1,uuid,cv_noise_floor,0.010000
A,ring,100,1,uuid,cv_over_floor,110.058625
A,ring,100,1,uuid,peak_over_mean,7.452200
A,ring,100,1,uuid,min_over_mean,0.007400
A,ring,100,10,user,cv,0.284421
A,ring,100,10,user,cv_noise_floor,0.010000
A,ring,100,10,user,cv_over_floor,28.442102
A,ring,100,10,user,peak_over_mean,1.920800
A,ring,100,10,user,min_over_mean,0.388900
A,ring,100,10,uuid,cv,0.285363
A,ring,100,10,uuid,cv_noise_floor,0.010000
A,ring,100,10,uuid,cv_over_floor,28.536256
A,ring,100,10,uuid,peak_over_mean,1.936400
A,ring,100,10,uuid,min_over_mean,0.383800
A,ring,100,100,user,cv,0.105312
A,ring,100,100,user,cv_noise_floor,0.010000
A,ring,100,100,user,cv_over_floor,10.531188
A,ring,100,100,user,peak_over_mean,1.291200
A,ring,100,100,user,min_over_mean,0.777400
A,ring,100,100,uuid,cv,0.106054
A,ring,100,100,uuid,cv_noise_floor,0.010000
A,ring,100,100,uuid,cv_over_floor,10.605431
A,ring,100,100,uuid,peak_over_mean,1.287900
A,ring,100,100,uuid,min_over_mean,0.778400
A,ring,100,160,user,cv,0.082794
A,ring,100,160,user,cv_noise_floor,0.010000
A,ring,100,160,user,cv_over_floor,8.279417
A,ring,100,160,user,peak_over_mean,1.207600
A,ring,100,160,user,min_over_mean,0.777100
A,ring,100,160,uuid,cv,0.083571
A,ring,100,160,uuid,cv_noise_floor,0.010000
A,ring,100,160,uuid,cv_over_floor,8.357149
A,ring,100,160,uuid,peak_over_mean,1.204700
A,ring,100,160,uuid,min_over_mean,0.749200
A,ring,100,1000,user,cv,0.032226
A,ring,100,1000,user,cv_noise_floor,0.010000
A,ring,100,1000,user,cv_over_floor,3.222562
A,ring,100,1000,user,peak_over_mean,1.080900
A,ring,100,1000,user,min_over_mean,0.931500
A,ring,100,1000,uuid,cv,0.032612
A,ring,100,1000,uuid,cv_noise_floor,0.010000
A,ring,100,1000,uuid,cv_over_floor,3.261246
A,ring,100,1000,uuid,peak_over_mean,1.080700
A,ring,100,1000,uuid,min_over_mean,0.935300
A,ring_ketama,100,160,user,cv,0.078583
A,ring_ketama,100,160,user,cv_noise_floor,0.010000
A,ring_ketama,100,160,user,cv_over_floor,7.858315
A,ring_ketama,100,160,user,peak_over_mean,1.253300
A,ring_ketama,100,160,user,min_over_mean,0.811200
A,ring_ketama,100,160,uuid,cv,0.078281
A,ring_ketama,100,160,uuid,cv_noise_floor,0.010000
A,ring_ketama,100,160,uuid,cv_over_floor,7.828083
