experiment,algorithm,nodes,param,keyset,metric,value
B,ring,10,160,user,moved_on_remove,0.090651
B,ring,10,160,user,remove_over_theoretical,0.906510
B,ring,10,160,user,moved_on_add,0.075970
B,ring,10,160,user,add_over_theoretical,0.835670
B,ring,10,160,user,moved_on_cascade3,0.288385
B,ring,10,160,user,cascade3_over_theoretical,0.961283
B,ring_ketama,10,160,user,moved_on_remove,0.104006
B,ring_ketama,10,160,user,remove_over_theoretical,1.040060
B,ring_ketama,10,160,user,moved_on_add,0.090723
B,ring_ketama,10,160,user,add_over_theoretical,0.997953
B,ring_ketama,10,160,user,moved_on_cascade3,0.317789
B,ring_ketama,10,160,user,cascade3_over_theoretical,1.059297
B,hrw,10,0,user,moved_on_remove,0.099733
B,hrw,10,0,user,remove_over_theoretical,0.997330
B,hrw,10,0,user,moved_on_add,0.091138
B,hrw,10,0,user,add_over_theoretical,1.002518
B,hrw,10,0,user,moved_on_cascade3,0.298804
B,hrw,10,0,user,cascade3_over_theoretical,0.996013
B,maglev,10,65537,user,moved_on_remove,0.102211
B,maglev,10,65537,user,remove_over_theoretical,1.022110
B,maglev,10,65537,user,moved_on_add,0.092732
B,maglev,10,65537,user,add_over_theoretical,1.020052
B,maglev,10,65537,user,moved_on_cascade3,0.301812
B,maglev,10,65537,user,cascade3_over_theoretical,1.006040
B,maglev,10,655373,user,moved_on_remove,0.101072
B,maglev,10,655373,user,remove_over_theoretical,1.010720
B,maglev,10,655373,user,moved_on_add,0.091630
B,maglev,10,655373,user,add_over_theoretical,1.007930
B,maglev,10,655373,user,moved_on_cascade3,0.301973
B,maglev,10,655373,user,cascade3_over_theoretical,1.006577
B,slot_table,10,1024,user,moved_on_remove,0.099727
B,slot_table,10,1024,user,remove_over_theoretical,0.997270
B,slot_table,10,1024,user,moved_on_add,0.090567
B,slot_table,10,1024,user,add_over_theoretical,0.996237
B,slot_table,10,1024,user,moved_on_cascade3,0.299699
B,slot_table,10,1024,user,cascade3_over_theoretical,0.998997
B,jump,10,0,user,moved_on_remove_last_bucket,0.100013
B,jump,10,0,user,remove_last_over_theoretical,1.000130
B,jump,10,0,user,moved_on_remove_middle,0.389124
B,jump,10,0,user,remove_middle_over_theoretical,3.891240
B,jump,10,0,user,moved_on_add,0.091069
B,jump,10,0,user,add_over_theoretical,1.001759
B,ring,100,160,user,moved_on_remove,0.010735
B,ring,100,160,user,remove_over_theoretical,1.073500
B,ring,100,160,user,moved_on_add,0.010930
B,ring,100,160,user,add_over_theoretical,1.103930
B,ring,100,160,user,moved_on_cascade3,0.031815
B,ring,100,160,user,cascade3_over_theoretical,1.060500
B,ring_ketama,100,160,user,moved_on_remove,0.009491
B,ring_ketama,100,160,user,remove_over_theoretical,0.949100
B,ring_ketama,100,160,user,moved_on_add,0.010230
B,ring_ketama,100,160,user,add_over_theoretical,1.033230
B,ring_ketama,100,160,user,moved_on_cascade3,0.029039
B,ring_ketama,100,160,user,cascade3_over_theoretical,0.967967
B,hrw,100,0,user,moved_on_remove,0.009913
B,hrw,100,0,user,remove_over_theoretical,0.991300
B,hrw,100,0,user,moved_on_add,0.009924
B,hrw,100,0,user,add_over_theoretical,1.002324
B,hrw,100,0,user,moved_on_cascade3,0.029991
B,hrw,100,0,user,cascade3_over_theoretical,0.999700
B,maglev,100,65537,user,moved_on_remove,0.015460
B,maglev,100,65537,user,remove_over_theoretical,1.546000
B,maglev,100,65537,user,moved_on_add,0.015618
B,maglev,100,65537,user,add_over_theoretical,1.577418
B,maglev,100,65537,user,moved_on_cascade3,0.037789
B,maglev,100,65537,user,cascade3_over_theoretical,1.259633
B,maglev,100,655373,user,moved_on_remove,0.011225
B,maglev,100,655373,user,remove_over_theoretical,1.122500
B,maglev,100,655373,user,moved_on_add,0.011193
B,maglev,100,655373,user,add_over_theoretical,1.130493
B,maglev,100,655373,user,moved_on_cascade3,0.032025
B,maglev,100,655373,user,cascade3_over_theoretical,1.067500
B,slot_table,100,1024,user,moved_on_remove,0.009991
B,slot_table,100,1024,user,remove_over_theoretical,0.999100
