experiment,algorithm,nodes,param,keyset,metric,value
D,ring,10,160,-,build_ms,0.400672
D,ring,10,160,-,add_node_ms,0.486377
D,ring,10,160,-,retained_bytes,20552.000000
D,ring,10,1000,-,build_ms,3.813426
D,ring,10,1000,-,add_node_ms,4.108259
D,ring,10,1000,-,retained_bytes,121352.000000
D,ring_ketama,10,160,-,build_ms,0.395145
D,ring_ketama,10,160,-,add_node_ms,0.462541
D,ring_ketama,10,160,-,retained_bytes,20552.000000
D,hrw,10,0,-,build_ms,0.005956
D,hrw,10,0,-,add_node_ms,0.004695
D,hrw,10,0,-,retained_bytes,1392.000000
D,jump,10,0,-,build_ms,0.002595
D,jump,10,0,-,retained_bytes,816.000000
D,maglev,10,65537,-,build_ms,6.217196
D,maglev,10,65537,-,add_node_ms,7.001238
D,maglev,10,65537,-,retained_bytes,263472.000000
D,maglev,10,655373,-,build_ms,103.988690
D,maglev,10,655373,-,add_node_ms,100.192137
D,maglev,10,655373,-,retained_bytes,2622816.000000
D,slot_table,10,1024,-,build_ms,0.039806
D,slot_table,10,1024,-,add_node_ms,0.042161
D,slot_table,10,1024,-,retained_bytes,4936.000000
D,ring,100,160,-,build_ms,6.145762
D,ring,100,160,-,add_node_ms,6.288645
D,ring,100,160,-,retained_bytes,203432.000000
D,ring,100,1000,-,build_ms,55.945381
D,ring,100,1000,-,add_node_ms,54.780128
D,ring,100,1000,-,retained_bytes,1211432.000000
D,ring_ketama,100,160,-,build_ms,6.482515
D,ring_ketama,100,160,-,add_node_ms,6.938823
D,ring_ketama,100,160,-,retained_bytes,203432.000000
D,hrw,100,0,-,build_ms,0.038761
D,hrw,100,0,-,add_node_ms,0.014208
D,hrw,100,0,-,retained_bytes,12552.000000
D,jump,100,0,-,build_ms,0.025261
D,jump,100,0,-,retained_bytes,7656.000000
D,maglev,100,65537,-,build_ms,9.129325
D,maglev,100,65537,-,add_node_ms,9.207818
D,maglev,100,65537,-,retained_bytes,273912.000000
D,maglev,100,655373,-,build_ms,137.097799
D,maglev,100,655373,-,add_node_ms,129.244674
D,maglev,100,655373,-,retained_bytes,2633256.000000
D,slot_table,100,1024,-,build_ms,0.127364
D,slot_table,100,1024,-,add_node_ms,0.050542
D,slot_table,100,1024,-,retained_bytes,11776.000000
D,ring,1000,160,-,build_ms,100.122394
D,ring,1000,160,-,add_node_ms,101.161333
D,ring,1000,160,-,retained_bytes,2032232.000000
D,ring,1000,1000,-,build_ms,1058.094885
D,ring,1000,1000,-,add_node_ms,1343.751533
D,ring,1000,1000,-,retained_bytes,12112232.000000
D,ring_ketama,1000,160,-,build_ms,389.396575
D,ring_ketama,1000,160,-,add_node_ms,376.590047
D,ring_ketama,1000,160,-,retained_bytes,2032232.000000
D,hrw,1000,0,-,build_ms,2.071212
D,hrw,1000,0,-,add_node_ms,1.160932
D,hrw,1000,0,-,retained_bytes,124152.000000
D,jump,1000,0,-,build_ms,0.297496
D,jump,1000,0,-,retained_bytes,76056.000000
D,maglev,1000,65537,-,build_ms,8.598299
D,maglev,1000,65537,-,add_node_ms,8.518266
D,maglev,1000,65537,-,retained_bytes,378312.000000
D,maglev,1000,655373,-,build_ms,147.305128
D,maglev,1000,655373,-,add_node_ms,141.779045
D,maglev,1000,655373,-,retained_bytes,2737656.000000
D,slot_table,1000,1024,-,build_ms,0.137601
D,slot_table,1000,1024,-,add_node_ms,0.117752
D,slot_table,1000,1024,-,retained_bytes,80176.000000
